Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
Warriner	Todd	N	1995	2003	LW	F	NA	73	200	January	3	1974	Canada	0
Ivanans	Raitis	N	2006	2009	LW	F	NA	76	263	January	3	1979	Latvia	0
York	Mike	N	2000	2009	LW	F	NA	70	185	January	3	1978	USA	0
Primeau	Kevin	N	1981	1981	RW	F	NA	73	180	January	3	1956	Canada	0
Britz	Greg	N	1984	1987	RW	F	NA	73	190	January	3	1961	USA	0
Sundblad	Niklas	N	1996	1996	RW	F	NA	73	200	January	3	1973	Sweden	0
Nabokov	Dmitri	N	1998	2000	C	F	LW	74	209	January	4	1977	Russia	0
Colley	Kevin	N	2006	2006	C	F	NA	70	175	January	4	1979	USA	0
Hudler	Jiri	N	2004	2009	C	F	NA	69	182	January	4	1984	Czech Republic	0
Baca	Jergus	N	1991	1992	D	D	NA	74	211	January	4	1965	Slovakia	0
De Vries	Greg	N	1996	2009	D	D	NA	74	215	January	4	1973	Canada	0
Meyer	Freddy	N	2004	2009	D	D	NA	70	192	January	4	1981	USA	0
Mitchell	Herb	N	1925	1926	LW	F	NA	70	190	January	4	1896	Canada	0
Balfour	Earl	N	1952	1961	LW	F	NA	73	180	January	4	1933	Canada	0
Fahey	Trevor	N	1965	1965	LW	F	NA	73	175	January	4	1944	Canada	0
Zavisha	Brad	N	1994	1994	LW	F	NA	74	205	January	4	1972	Canada	0
McArdle	Kenndal	N	2009	2009	LW	F	NA	71	190	January	4	1987	Canada	0
Cahill	Charles	N	1926	1927	RW	F	NA	70	180	January	4	1904	Canada	0
McDonald	Robert	N	1944	1944	RW	F	NA	70	170	January	4	1923	Canada	0
Latos	James	N	1989	1989	RW	F	NA	73	200	January	4	1966	Canada	0
Jarrett	Cole	N	2006	2006	W	F	NA	73	195	January	4	1983	Canada	0
Glover	Fred	N	1950	1953	C	F	NA	69	170	January	5	1928	Canada	0
Podloski	Ray	N	1989	1989	C	F	NA	74	210	January	5	1966	Canada	0
Hrdina	Jiri	N	1988	1992	C	F	NA	73	195	January	5	1958	Czech Republic	0
Kerr	Tim	N	1981	1993	C	F	RW	75	230	January	5	1960	Canada	0
McReynolds	Brian	N	1990	1994	C	F	NA	73	192	January	5	1965	Canada	0
Juneau	Joe	N	1992	2004	C	F	NA	73	195	January	5	1968	Canada	0
Stewart	Anthony	N	2006	2009	C	F	NA	74	239	January	5	1985	Canada	0
Chouinard	Jean	N	1928	1928	D	D	NA	66	160	January	5	1902	Canada	0
Duris	Vitezslav	N	1981	1983	D	D	NA	73	185	January	5	1954	Czech Republic	0
MacDonald	Brett	N	1988	1988	D	D	NA	73	205	January	5	1966	Canada	0
Lehman	Scott	N	2009	2009	D	D	NA	73	200	January	5	1986	Canada	0
Potter	Corey	N	2009	2009	D	D	NA	75	205	January	5	1984	USA	0
Rutledge	Wayne	N	1968	1970	G	G	NA	74	200	January	5	1942	Canada	0
Plamondon	Gerry	N	1946	1951	LW	F	NA	68	170	January	5	1925	Canada	0
