Last	First	HOF	From	To	Position1	Position	Position2	Ht	Wt	Month	Day	Year	Country	DaysBefore
McGill	Ryan	N	1992	1995	D	D	NA	74	210	February	28	1969	Canada	31
Willis	Jordan	N	1996	1996	G	G	NA	69	155	February	28	1975	Canada	31
McDonald	Jack	N	1918	1922	LW	F	NA	NA	NA	February	28	1887	Canada	31
Greenlaw	Jeff	N	1987	1994	LW	F	NA	73	230	February	28	1968	Canada	31
Stutzel	Mike	N	2004	2004	LW	F	NA	74	216	February	28	1979	Canada	31
Denis	Jean-Paul	N	1947	1950	RW	F	NA	68	170	February	28	1924	Canada	31
Lucas	Danny	N	1979	1979	RW	F	NA	73	197	February	28	1958	Canada	31
Makela	Mikko	N	1986	1995	RW	F	NA	73	194	February	28	1965	Finland	31
McEachern	Shawn	N	1992	2006	RW	F	NA	71	200	February	28	1969	USA	31
VandenBussche	Ryan	N	1997	2006	RW	F	NA	73	200	February	28	1973	Canada	31
Nodl	Andreas	N	2009	2009	RW	F	NA	73	196	February	28	1987	Austria	31
Haynes	Paul	N	1931	1941	C	F	NA	70	160	March	1	1910	Canada	59
Bentley	Max	Y	1941	1954	C	F	NA	70	155	March	1	1920	Canada	59
Eriksson	Roland	N	1977	1979	C	F	NA	75	190	March	1	1954	Sweden	59
Galarneau	Michel	N	1981	1983	C	F	NA	74	180	March	1	1961	Canada	59
Boutette	Pat	N	1976	1985	C	F	RW	68	175	March	1	1952	Canada	59
Schmidt	Chris	N	2003	2003	C	F	D	75	212	March	1	1976	Canada	59
Francis	Ron	Y	1982	2004	C	F	NA	75	200	March	1	1963	Canada	59
Steen	Alex	N	2006	2009	C	F	NA	73	205	March	1	1984	Canada	59
Sutherby	Brian	N	2002	2009	C	F	NA	75	210	March	1	1982	Canada	59
Winchester	Brad	N	2006	2009	C	F	LW	77	228	March	1	1981	Canada	59
Coutu	Billy	N	1918	1927	D	D	NA	71	190	March	1	1892	Canada	59
Buchanan	Mike	N	1952	1952	D	D	NA	73	185	March	1	1932	Canada	59
Stanley	Allan	Y	1949	1969	D	D	NA	73	170	March	1	1926	Canada	59
Guevremont	Jocelyn	N	1972	1980	D	D	NA	74	200	March	1	1951	Canada	59
Mulhern	Richard	N	1976	1981	D	D	NA	73	188	March	1	1955	Canada	59
Brown	Jim	N	1983	1983	D	D	NA	76	210	March	1	1960	USA	59
Brownschidle	Jeff	N	1982	1983	D	D	NA	74	200	March	1	1959	USA	59
Svensson	Magnus	N	1995	1996	D	D	NA	71	180	March	1	1963	Sweden	59
Libby	Jeff	N	1998	1998	D	D	NA	75	215	March	1	1974	USA	59
Lank	Jeff	N	2000	2000	D	D	NA	75	205	March	1	1975	Canada	59
Paul	Jeff	N	2003	2003	D	D	NA	76	225	March	1	1978	Canada	59
Sharples	 Warren 	N	1992	1992	G	G	NA	73	180	March	1	1968	Canada	59
Helenius	Riku	N	2009	2009	G	G	NA	75	202	March	1	1988	Finland	59
Hirschfeld	Bert	N	1950	1951	LW	F	NA	70	165	March	1	1929	Canada	59
Miller	Jason	N	1991	1993	LW	F	NA	73	190	March	1	1971	Canada	59
Boivin	Claude	N	1992	1995	LW	F	NA	74	200	March	1	1970	Canada	59
Nilson	Marcus	N	1999	2008	LW	F	NA	74	189	March	1	1978	Sweden	59
Joseph	Tony	N	1989	1989	RW	F	NA	76	203	March	1	1969	Canada	59
Habscheid	Marc	N	1982	1992	RW	F	C	73	185	March	1	1963	Canada	59
Vilgrain	Claude	N	1988	1994	RW	F	NA	73	205	March	1	1963	Haiti	59
McDonell	Kent	N	2003	2004	RW	F	NA	74	205	March	1	1979	Canada	59
Drouillard	Clarence	N	1938	1938	C	F	NA	67	150	March	2	1914	Canada	59
Dorion	Dan	N	1986	1988	C	F	NA	69	180	March	2	1963	USA	59
Lundqvist	Joel	N	2007	2009	C	F	NA	73	194	March	2	1982	Sweden	59
McClement	Jay	N	2006	2009	C	F	NA	73	201	March	2	1983	Canada	59
Shannon	Ryan	N	2007	2009	C	F	NA	69	173	March	2	1983	USA	59
Headley	Fern	N	1925	1925	D	D	NA	71	175	March	2	1901	USA	59
Drury	Herb	N	1926	1931	D	D	RW	67	165	March	2	1895	Canada	59
Kemp	Stan	N	1949	1949	D	D	NA	69	165	March	2	1924	Canada	59
Quackenbush	Bill	Y	1943	1956	D	D	NA	71	190	March	2	1922	Canada	59
Andersson	Peter	N	1984	1986	D	D	NA	74	200	March	2	1962	Sweden	59
Messier	Joby	N	1993	1995	D	D	NA	73	200	March	2	1970	Canada	59
Ericsson	Jonathan	N	2008	2009	D	D	NA	76	206	March	2	1984	Sweden	59
Kaberle	Tomas	N	1999	2009	D	D	NA	73	198	March	2	1978	Czech Republic	59
Cechmanek	Roman	N	2001	2004	G	G	NA	75	187	March	2	1971	Czech Republic	59
Lundqvist	Henrik	N	2006	2009	G	G	NA	73	195	March	2	1982	Sweden	59
Alexandre	Art	N	1932	1933	LW	F	NA	65	150	March	2	1909	Canada	59
Summanen	Raimo	N	1984	1988	LW	F	NA	71	185	March	2	1962	Finland	59
Larose	Claude	N	1963	1978	RW	F	NA	73	180	March	2	1942	Canada	59
Johnstone	Eddie	N	1976	1987	RW	F	NA	69	175	March	2	1954	Canada	59
Gordon	Jack	N	1949	1951	C	F	NA	69	154	March	3	1928	Canada	59
Hrymnak	Steve	N	1952	1952	D	D	NA	71	178	March	3	1926	Canada	59
Kraftcheck	Stephen	N	1951	1959	D	D	NA	71	190	March	3	1929	Canada	59
Volcan	Mickey	N	1981	1984	D	D	NA	73	190	March	3	1962	Canada	59
Leetch	Brian	Y	1988	2006	D	D	NA	73	185	March	3	1968	USA	59
Festerling	Brett	N	2009	2009	D	D	NA	73	201	March	3	1986	Canada	59
O'Neill	Wes	N	2009	2009	D	D	NA	76	200	March	3	1986	Canada	59
Robidas	Stephane	N	2000	2009	D	D	NA	71	190	March	3	1977	Canada	59
Ellacott	Ken	N	1983	1983	G	G	NA	68	160	March	3	1959	Canada	59
McKay	Ross	N	1991	1991	G	G	NA	71	175	March	3	1964	Canada	59
Lewis	Doug	N	1947	1947	LW	F	NA	68	155	March	3	1921	Canada	59
Johnston	Joey	N	1969	1976	LW	F	NA	70	180	March	3	1949	Canada	59
Secord	Al	N	1979	1990	LW	F	NA	73	205	March	3	1958	Canada	59
Miller	Kelly	N	1985	1999	LW	F	NA	71	195	March	3	1963	USA	59
Semin	Alexander	N	2004	2009	LW	F	NA	74	205	March	3	1984	Russia	59
Mann	Norm	N	1939	1941	RW	F	C	70	155	March	3	1914	England	59
Gaulin	Jean-Marc	N	1983	1986	RW	F	NA	70	180	March	3	1962	Germany	59
Zemlak	Richard	N	1987	1992	RW	F	NA	74	190	March	3	1963	Canada	59
Kudelski	Bob	N	1988	1996	RW	F	NA	73	205	March	3	1964	USA	59
Nedved	Zdenek	N	1995	1997	RW	F	NA	73	180	March	3	1975	Czech Republic	59
Prochazka	Martin	N	1998	2000	RW	F	NA	71	180	March	3	1972	Czech Republic	59
Tetarenko	Joey	N	2001	2004	RW	F	NA	74	215	March	3	1978	Canada	59
Orr	Colton	N	2004	2009	RW	F	NA	75	222	March	3	1982	Canada	59
Thibaudeau	Gilles	N	1987	1991	C	F	NA	70	165	March	4	1963	Canada	59
Aalto	Antti	N	1998	2001	C	F	NA	73	210	March	4	1975	Finland	59
Zinovjev	Sergei	N	2004	2004	C	F	LW	70	185	March	4	1980	Russia	59
Dowell	Jake	N	2008	2009	C	F	NA	73	202	March	4	1985	USA	59
Johnson	Virgil	N	1938	1945	D	D	NA	69	165	March	4	1912	USA	59
Gauvreau	Jocelyn	N	1984	1984	D	D	NA	71	180	March	4	1964	Canada	59
Kluzak	Gord	N	1983	1991	D	D	NA	76	220	March	4	1964	Canada	59
Jokela	Mikko	N	2003	2003	D	D	NA	73	212	March	4	1980	Finland	59
Pelletier	Jean-Marc	N	1999	2004	G	G	NA	75	209	March	4	1978	USA	59
Morrison	John	N	1926	1926	LW	F	NA	68	163	March	4	1895	Canada	59
Bennett	Frank	N	1944	1944	LW	F	D	71	182	March	4	1922	Canada	59
Lundstrom	Tord	N	1974	1974	LW	F	NA	71	176	March	4	1945	Sweden	59
Deuling	Jarrett	N	1996	1997	LW	F	NA	73	205	March	4	1974	Canada	59
Poeta	Tony	N	1952	1952	RW	F	NA	65	168	March	4	1933	Canada	59
Allison	Ray	N	1980	1987	RW	F	NA	70	195	March	4	1959	Canada	59
Kohn	Ladislav	N	1996	2003	RW	F	NA	71	194	March	4	1975	Czech Republic	59
Dagenais	Pierre	N	2001	2006	RW	F	NA	76	217	March	4	1978	Canada	59
Thoms	Bill	N	1933	1945	C	F	NA	69	170	March	5	1910	Canada	59
Schmidt	Milt	Y	1937	1955	C	F	D	73	185	March	5	1918	Canada	59
Pidhirny	Harry	N	1958	1958	C	F	NA	71	155	March	5	1928	Canada	59
Richer	Bob	N	1973	1973	C	F	NA	70	175	March	5	1951	Canada	59
Gardner	Paul	N	1977	1986	C	F	NA	73	195	March	5	1956	Canada	59
Semenov	Anatoli	N	1991	1997	C	F	LW	74	190	March	5	1962	Russia	59
Anderson	Dale	N	1957	1957	D	D	NA	75	190	March	5	1932	Canada	59
Friday	Tim	N	1986	1986	D	D	NA	73	190	March	5	1961	USA	59
Halkidis	Bob	N	1986	1996	D	D	NA	71	205	March	5	1966	Canada	59
Berard	Bryan	N	1997	2008	D	D	NA	74	220	March	5	1977	USA	59
Jackman	Barret	N	2002	2009	D	D	NA	73	203	March	5	1981	Canada	59
Martin	Paul	N	2004	2009	D	D	NA	73	195	March	5	1981	USA	59
DelGuidice	Matt	N	1991	1992	G	G	NA	69	170	March	5	1967	USA	59
Hannigan	Pat	N	1960	1969	LW	F	NA	70	183	March	5	1936	Canada	59
Podein	Shjon	N	1993	2003	LW	F	NA	74	200	March	5	1968	USA	59
Yackel	Ken	N	1959	1959	RW	F	NA	71	195	March	5	1932	USA	59
Ouellet	Michel	N	2006	2009	RW	F	NA	73	193	March	5	1982	Canada	59
Vaic	Lubomir	N	1998	2000	C	F	NA	69	178	March	6	1977	Slovakia	59
Taylor	Chris	N	1995	2004	C	F	NA	74	192	March	6	1972	Canada	59
Winnik	Daniel	N	2008	2009	C	F	LW	74	210	March	6	1985	Canada	59
Matte	Joe	N	1920	1926	D	D	NA	71	165	March	6	1893	Canada	59
Goegan	Pete	N	1958	1968	D	D	NA	73	195	March	6	1934	Canada	59
Arthur	Fred	N	1981	1983	D	D	NA	77	210	March	6	1961	Canada	59
Allen	Peter	N	1996	1996	D	D	NA	74	200	March	6	1970	Canada	59
Rourke	Allan	N	2004	2008	D	D	NA	74	215	March	6	1980	Canada	59
Wagner	Steve	N	2008	2009	D	D	NA	74	190	March	6	1984	USA	59
Aitkenhead	Andy	N	1933	1935	G	G	NA	69	145	March	6	1904	England	59
Gauthier	Paul	N	1938	1938	G	G	NA	65	125	March	6	1915	Canada	59
May	Darrell	N	1986	1988	G	G	NA	73	175	March	6	1962	Canada	59
Labrecque	Patrick	N	1996	1996	G	G	NA	73	190	March	6	1971	Canada	59
Redding	George	N	1925	1926	LW	F	D	67	145	March	6	1903	Canada	59
Boll	Buzz	N	1934	1944	LW	F	NA	70	166	March	6	1911	Canada	59
Bourbonnais	Dan	N	1982	1984	LW	F	NA	70	185	March	6	1962	Canada	59
Shill	Bill	N	1943	1947	RW	F	NA	73	175	March	6	1923	Canada	59
Sinclair	Reg	N	1951	1953	RW	F	C	73	165	March	6	1925	Canada	59
Ritson	Alex	N	1945	1945	C	F	NA	71	172	March	7	1922	Canada	59
King	Frank	N	1951	1951	C	F	NA	71	185	March	7	1929	Canada	59
Eagles	Mike	N	1983	2000	C	F	LW	70	195	March	7	1963	Canada	59
Bruce	Morley	N	1918	1922	D	D	C	69	170	March	7	1894	Canada	59
Arbour	Jack	N	1927	1929	D	D	NA	68	172	March	7	1897	Canada	59
Manastersky	Tom	N	1951	1951	D	D	NA	69	185	March	7	1929	Canada	59
McIlhargey	Jack	N	1975	1982	D	D	NA	73	190	March	7	1952	Canada	59
Hotham	Greg	N	1980	1985	D	D	NA	71	183	March	7	1956	Canada	59
Brown	Greg	N	1991	1995	D	D	NA	73	185	March	7	1968	USA	59
Carkner	Terry	N	1987	1999	D	D	NA	75	210	March	7	1966	Canada	59
Smith	Geoff	N	1990	1999	D	D	NA	75	194	March	7	1969	Canada	59
Kloucek	Tomas	N	2001	2006	D	D	NA	75	235	March	7	1980	Czech Republic	59
MacKenzie	Aaron	N	2009	2009	D	D	NA	73	193	March	7	1981	Canada	59
Loustel	Ron	N	1981	1981	G	G	NA	71	185	March	7	1962	Canada	59
Aldcorn	Gary	N	1957	1961	LW	F	NA	71	170	March	7	1935	Canada	59
MacNeil	Bernie	N	1974	1974	LW	F	NA	71	190	March	7	1950	Canada	59
Balmochnykh	Maxim	N	2000	2000	LW	F	NA	73	210	March	7	1979	Russia	59
MacMillan	Billy	N	1971	1977	RW	F	NA	70	185	March	7	1943	Canada	59
McKenna	Sean	N	1982	1990	RW	F	NA	73	190	March	7	1962	Canada	59
Kumpel	Mark	N	1985	1991	RW	F	NA	73	190	March	7	1961	USA	59
Erickson	Bryan	N	1984	1994	RW	F	NA	69	175	March	7	1960	USA	59
Bergfors	Nicklas	N	2008	2009	RW	F	NA	71	190	March	7	1987	Sweden	59
Godard	Eric	N	2003	2009	RW	F	NA	76	214	March	7	1980	Canada	59
Ashby	Don	N	1976	1981	C	F	NA	73	185	March	8	1955	Canada	59
Malone	Greg	N	1977	1987	C	F	NA	73	190	March	8	1956	Canada	59
Klimovich	Sergei	N	1997	1997	C	F	NA	75	189	March	8	1974	Russia	59
Zeniuk	Ed	N	1955	1955	D	D	NA	71	180	March	8	1933	Canada	59
Pratt	Tracy	N	1968	1977	D	D	NA	74	195	March	8	1943	USA	59
Taft	John	N	1979	1979	D	D	NA	74	185	March	8	1954	USA	59
Rowe	Mike	N	1985	1987	D	D	NA	73	208	March	8	1965	Canada	59
Lalor	Mike	N	1986	1997	D	D	NA	73	200	March	8	1963	Canada	59
Murphy	Larry	Y	1981	2001	D	D	NA	74	210	March	8	1961	Canada	59
Zettler	Rob	N	1989	2002	D	D	NA	75	200	March	8	1968	Canada	59
Halko	Steven	N	1998	2003	D	D	NA	73	200	March	8	1974	Canada	59
Boughner	Bob	N	1996	2006	D	D	NA	73	203	March	8	1971	Canada	59
Ersberg	Erik	N	2008	2009	G	G	NA	73	182	March	8	1982	Sweden	59
Hickey	Greg	N	1978	1978	LW	F	NA	70	160	March	8	1955	Canada	59
Fedyk	Brent	N	1988	1999	LW	F	NA	73	194	March	8	1967	Canada	59
Pearson	Rob	N	1992	1997	RW	F	NA	75	198	March	8	1971	Canada	59
Clark	Chris	N	2000	2009	RW	F	NA	73	202	March	8	1976	USA	59
Holmes	Bill	N	1926	1930	C	F	NA	73	200	March	9	1899	Canada	59
Ouellette	Eddie	N	1936	1936	C	F	NA	69	181	March	9	1911	Canada	59
Turnbull	Perry	N	1980	1988	C	F	NA	74	200	March	9	1959	Canada	59
Reid	Brandon	N	2003	2007	C	F	NA	68	185	March	9	1981	Canada	59
Jacobs	Paul	N	1919	1919	D	D	NA	68	160	March	9	1894	Canada	59
Golubovsky	Yan	N	1998	2001	D	D	NA	75	183	March	9	1976	Russia	59
Housley	Phil	N	1983	2003	D	D	NA	70	185	March	9	1964	USA	59
Burns	Brent	N	2004	2009	D	D	NA	77	219	March	9	1985	Canada	59
Phillips	Chris	N	1998	2009	D	D	NA	75	219	March	9	1978	Canada	59
Kurt	Gary	N	1972	1972	G	G	NA	75	205	March	9	1947	Canada	59
Marsh	Gary	N	1968	1969	LW	F	NA	70	172	March	9	1946	Canada	59
Krulicki	Jim	N	1971	1971	LW	F	NA	71	180	March	9	1948	Canada	59
Hallin	Mats	N	1983	1987	LW	F	NA	74	200	March	9	1958	Sweden	59
Bickell	Bryan	N	2007	2008	LW	F	NA	76	223	March	9	1986	Canada	59
MacLean	Paul	N	1981	1991	RW	F	NA	74	218	March	9	1958	France	59
Dvorak	Radek	N	1996	2009	RW	F	NA	74	200	March	9	1977	Czech Republic	59
Bullard	Mike	N	1981	1992	C	F	NA	73	195	March	10	1961	Canada	59
Brent	Tim	N	2007	2009	C	F	NA	73	197	March	10	1984	Canada	59
Bergkvist	Stefan	N	1996	1997	D	D	NA	74	224	March	10	1975	Sweden	59
Wallin	Jesse	N	2000	2003	D	D	NA	74	190	March	10	1978	Canada	59
Sutton	Andy	N	1999	2009	D	D	NA	78	245	March	10	1975	Canada	59
Brochu	Martin	N	1999	2004	G	G	NA	73	199	March	10	1973	Canada	59
Rask	Tuukka	N	2008	2009	G	G	NA	74	171	March	10	1987	Finland	59
Lecuyer	Doug	N	1979	1983	LW	F	NA	69	180	March	10	1958	Canada	59
Markell	John	N	1980	1985	LW	F	NA	71	185	March	10	1956	Canada	59
Botting	Cam	N	1976	1976	RW	F	NA	74	205	March	10	1954	Canada	59
Kulak	Stu	N	1983	1989	RW	F	NA	70	180	March	10	1963	Canada	59
Tepper	Stephen	N	1993	1993	RW	F	NA	76	215	March	10	1969	USA	59
Peat	Stephen	N	2002	2006	RW	F	NA	75	230	March	10	1980	Canada	59
Hanson	Christian	N	2009	2009	RW	F	NA	75	196	March	10	1986	USA	59
Downie	Dave	N	1933	1933	C	F	RW	68	168	March	11	1909	Canada	59
Morrison	Mark	N	1982	1984	C	F	NA	68	150	March	11	1963	Canada	59
Helminen	Raimo	N	1986	1989	C	F	NA	73	185	March	11	1964	Finland	59
Handzus	Michal	N	1999	2009	C	F	NA	77	217	March	11	1977	Czech Republic	59
Cleghorn	Sprague	Y	1919	1928	D	D	NA	70	190	March	11	1890	Canada	59
Byers	Gord	N	1950	1950	D	D	NA	70	182	March	11	1930	Canada	59
Fortin	Ray	N	1968	1970	D	D	NA	68	180	March	11	1941	Canada	59
Niekamp	Jim	N	1971	1972	D	D	NA	73	185	March	11	1946	USA	59
Plager	Bob	N	1965	1978	D	D	NA	71	195	March	11	1943	Canada	59
Bautin	Sergei	N	1993	1996	D	D	NA	75	200	March	11	1967	Belarus	59
Houlder	Bill	N	1988	2003	D	D	NA	74	217	March	11	1967	Canada	59
Gragnani	Marc-Andre	N	2008	2009	D	D	NA	73	192	March	11	1987	Canada	59
Krajicek	Lukas	N	2002	2009	D	D	NA	74	200	March	11	1983	Czech Republic	59
Lozinski	Larry	N	1981	1981	G	G	NA	71	175	March	11	1958	Canada	59
Lecaine	Bill	N	1969	1969	LW	F	NA	73	172	March	11	1940	Canada	59
Baumgartner	Ken	N	1988	1999	LW	F	NA	73	205	March	11	1966	Canada	59
Lacroix	Daniel	N	1994	2000	LW	F	NA	74	205	March	11	1969	Canada	59
Nash	Tyson	N	1999	2006	LW	F	NA	71	191	March	11	1975	Canada	59
Ekman	Nils	N	2000	2007	LW	F	NA	73	185	March	11	1976	Sweden	59
Rucinsky	Martin	N	1992	2008	LW	F	NA	73	205	March	11	1971	Czech Republic	59
Bissonnette	Paul	N	2009	2009	LW	F	NA	74	211	March	11	1985	Canada	59
Robinson	Earl	N	1929	1940	RW	F	C	70	160	March	11	1907	Canada	59
Ezinicki	Bill	N	1945	1955	RW	F	NA	70	170	March	11	1924	Canada	59
Gorence	Tom	N	1979	1984	RW	F	NA	73	190	March	11	1957	USA	59
Law	Kirby	N	2001	2004	RW	F	NA	73	185	March	11	1977	Canada	59
Blinco	Russ	N	1934	1939	C	F	NA	70	171	March	12	1908	Canada	59
Horvath	Bronco	N	1956	1968	C	F	NA	71	185	March	12	1930	Canada	59
Gilbert	Ed	N	1975	1977	C	F	NA	73	185	March	12	1952	Canada	59
Larter	Tyler	N	1990	1990	C	F	NA	70	185	March	12	1968	Canada	59
Koivu	Mikko	N	2006	2009	C	F	NA	74	200	March	12	1983	Finland	59
Kampman	 Rudolph 	N	1938	1942	D	D	NA	70	187	March	12	1914	Canada	59
Healey	Rich	N	1961	1961	D	D	NA	70	170	March	12	1938	Canada	59
Fusco	Mark	N	1984	1985	D	D	NA	69	175	March	12	1961	USA	59
Plante	Cam	N	1985	1985	D	D	NA	73	195	March	12	1964	Canada	59
Quint	Deron	N	1996	2007	D	D	NA	74	219	March	12	1976	USA	59
Murray	Douglas	N	2006	2009	D	D	NA	75	240	March	12	1980	Sweden	59
Edwards	Roy	N	1968	1974	G	G	NA	68	165	March	12	1937	Canada	59
McKenzie	Bill	N	1974	1980	G	G	NA	71	180	March	12	1949	Canada	59
Johnson	Brent	N	1999	2009	G	G	NA	75	210	March	12	1977	USA	59
Lewicki	Danny	N	1951	1959	LW	F	NA	68	147	March	12	1931	Canada	59
Berglund	Christian	N	2002	2004	LW	F	NA	71	195	March	12	1980	Sweden	59
Porter	Kevin	N	2009	2009	RW	F	NA	73	195	March	12	1986	USA	59
Dorohoy	Ed	N	1949	1949	C	F	LW	69	155	March	13	1929	Canada	59
Godden	Ernie	N	1982	1982	C	F	NA	68	160	March	13	1961	Canada	59
Bissett	Tom	N	1991	1991	C	F	NA	73	180	March	13	1966	USA	59
Pederson	Barry	N	1981	1992	C	F	NA	71	185	March	13	1961	Canada	59
Kaminski	Kevin	N	1989	1997	C	F	NA	70	190	March	13	1969	Canada	59
Burega	Bill	N	1956	1956	D	D	NA	73	195	March	13	1932	Canada	59
Irwin	Ivan	N	1953	1958	D	D	NA	74	185	March	13	1927	USA	59
McIntosh	Paul	N	1975	1976	D	D	NA	70	177	March	13	1954	Canada	59
Bolduc	Michel	N	1982	1983	D	D	NA	74	190	March	13	1961	Canada	59
Lehto	Petteri	N	1985	1985	D	D	NA	73	175	March	13	1961	Finland	59
Culhane	Jim	N	1990	1990	D	D	NA	73	190	March	13	1965	Canada	59
Galanov	Maxim	N	1998	2001	D	D	NA	73	205	March	13	1974	Russia	59
Malmivaara	Olli	N	2008	2008	D	D	NA	79	230	March	13	1982	Finland	59
Bell	Gordie	N	1946	1946	G	G	NA	70	164	March	13	1925	Canada	59
Martin	Grant	N	1984	1987	LW	F	NA	70	190	March	13	1962	Canada	59
Chucko	Kris	N	2009	2009	LW	F	NA	74	200	March	13	1986	Canada	59
Stoughton	Blaine	N	1974	1984	RW	F	NA	71	185	March	13	1953	Canada	59
Skriko	Petri	N	1985	1993	RW	F	NA	70	174	March	13	1962	Finland	59
Royer	Gaetan	N	2002	2002	RW	F	NA	75	210	March	13	1976	Canada	59
Smyth	Brad	N	1996	2003	RW	F	NA	73	200	March	13	1973	Canada	59
Wilson	Landon	N	1996	2009	RW	F	NA	75	226	March	13	1975	USA	59
Mitchell	Roy	N	1993	1993	D	D	NA	73	199	March	14	1969	Canada	59
Brimanis	Aris	N	1994	2004	D	D	NA	75	215	March	14	1972	USA	59
Traverse	Patrick	N	1996	2006	D	D	NA	76	207	March	14	1974	Canada	59
Peltier	Derek	N	2009	2009	D	D	NA	71	190	March	14	1985	USA	59
Wakaluk	Darcy	N	1989	1997	G	G	NA	71	180	March	14	1966	Canada	59
Shevalier	Jeff	N	1995	2000	LW	F	NA	71	180	March	14	1974	Canada	59
Filmore	Tommy	N	1931	1934	RW	F	NA	71	189	March	14	1906	Canada	59
Carter	Ron	N	1980	1980	RW	F	NA	73	205	March	14	1958	Canada	59
Nedomansky	Vaclav	N	1978	1983	RW	F	NA	74	205	March	14	1944	Czech Republic	59
Kavanagh	Pat	N	2003	2006	RW	F	NA	75	192	March	14	1979	Canada	59
Ritola	Mattias	N	2008	2008	RW	F	NA	73	192	March	14	1987	Sweden	59
Motzko	Joe	N	2004	2009	RW	F	NA	73	185	March	14	1980	USA	59
Cassidy	Tom	N	1978	1978	C	F	NA	71	180	March	15	1952	Canada	59
Stewart	Blair	N	1974	1980	C	F	NA	71	185	March	15	1953	Canada	59
Aulin	Jared	N	2003	2003	C	F	RW	73	192	March	15	1982	Canada	59
Guolla	Steve	N	1997	2003	C	F	NA	73	190	March	15	1973	Canada	59
White	Peter	N	1994	2004	C	F	NA	71	200	March	15	1969	Canada	59
Collins	Rob	N	2006	2006	C	F	NA	70	174	March	15	1978	Canada	59
Steckel	David	N	2006	2009	C	F	NA	77	218	March	15	1982	USA	59
Matte	Joe	N	1930	1943	D	D	NA	71	178	March	15	1909	Canada	59
Buller	Hy	N	1944	1954	D	D	NA	71	183	March	15	1926	Canada	59
Ludwig	Craig	N	1983	1999	D	D	NA	75	220	March	15	1961	USA	59
Fortin	Jean-Francois	N	2002	2004	D	D	NA	74	205	March	15	1979	Canada	59
Sloan	Tyler	N	2009	2009	D	D	NA	75	205	March	15	1981	Canada	59
Jerwa	Frank	N	1932	1935	LW	F	D	73	179	March	15	1909	Canada	59
Hoene	Phil	N	1973	1975	LW	F	NA	69	175	March	15	1949	USA	59
Gavin	Stew	N	1981	1993	LW	F	NA	73	190	March	15	1960	Canada	59
Currie	Dan	N	1991	1994	LW	F	NA	74	195	March	15	1968	Canada	59
Kruse	Paul	N	1991	2001	LW	F	NA	73	215	March	15	1970	Canada	59
Jardine	Ryan	N	2002	2002	LW	F	NA	73	210	March	15	1980	Canada	59
Hansen	Jannik	N	2008	2009	LW	F	NA	73	194	March	15	1986	Denmark	59
Roest	Stacy	N	1999	2003	RW	F	NA	69	185	March	15	1974	Canada	59
Tucker	Darcy	N	1996	2009	RW	F	NA	70	178	March	15	1975	Canada	59
Nedorost	Vaclav	N	2002	2004	C	F	NA	73	190	March	16	1982	Slovakia	59
Johnson	Greg	N	1994	2006	C	F	NA	71	200	March	16	1971	Canada	59
Arnason	Tyler	N	2002	2009	C	F	NA	71	204	March	16	1979	USA	59
Prust	Brandon	N	2007	2009	C	F	LW	71	195	March	16	1984	Canada	59
Tlusty	Jiri	N	2008	2009	C	F	NA	73	209	March	16	1988	Czech Republic	59
McLean	Fred	N	1920	1921	D	D	NA	74	200	March	16	1893	Canada	59
Behling	Dick	N	1941	1943	D	D	NA	73	195	March	16	1916	Canada	59
Blomsten	Arto	N	1994	1996	D	D	NA	75	210	March	16	1965	Finland	59
Harlock	David	N	1994	2002	D	D	NA	74	215	March	16	1971	Canada	59
Rivers	Jamie	N	1996	2007	D	D	NA	73	206	March	16	1975	Canada	59
Johnsson	Kim	N	2000	2009	D	D	NA	73	193	March	16	1976	Sweden	59
Crozier	Roger	N	1964	1977	G	G	NA	68	165	March	16	1942	Canada	59
Laxton	Gord	N	1976	1979	G	G	NA	70	195	March	16	1955	Canada	59
Russell	Church	N	1946	1948	LW	F	C	71	175	March	16	1923	Canada	59
McKenzie	Brian	N	1972	1972	LW	F	NA	70	165	March	16	1951	Canada	59
Kerch	Alexander	N	1994	1994	LW	F	NA	70	190	March	16	1967	Russia	59
Robitaille	Louis	N	2006	2006	LW	F	NA	73	192	March	16	1982	Canada	59
McDill	Jeff	N	1977	1977	RW	F	NA	71	190	March	16	1956	Canada	59
MacAdam	Al	N	1974	1985	RW	F	NA	73	180	March	16	1952	Canada	59
Sutter	Duane	N	1980	1990	RW	F	NA	73	185	March	16	1960	Canada	59
Mullen	Brian	N	1983	1993	RW	F	NA	70	180	March	16	1962	USA	59
Rodgers	Marc	N	2000	2000	RW	F	NA	69	185	March	16	1972	Canada	59
Kristek	Jaroslav	N	2003	2003	RW	F	NA	73	188	March	16	1980	Czech Republic	59
Cote	Riley	N	2007	2009	RW	F	NA	73	210	March	16	1982	Canada	59
Willsie	Brian	N	2000	2009	RW	F	NA	73	202	March	16	1978	Canada	59
Weir	Stan	N	1973	1983	C	F	NA	73	180	March	17	1952	Canada	59
Backlund	Mikael	N	2009	2009	C	F	NA	73	194	March	17	1989	Sweden	59
McIntosh	Bruce	N	1973	1973	D	D	NA	73	178	March	17	1949	USA	59
Smith	Stu	N	1980	1983	D	D	NA	73	205	March	17	1960	Canada	59
Thornbury	Tom	N	1984	1984	D	D	NA	71	175	March	17	1963	Canada	59
